ID,Biome,Sex,Age,Hemacias,Hemoglobina,Hematocrito,VCM-VGM,HCM-HGM,CHCM-CHGM,LeucocitosTotais,Eosinofilos,Basofilos,Linfocitos,Monocitos,Bastonetes,Segmentados,Neutrofilos,Plaquetas,TGP-ALT,TGO-AST,GamaGT,Ureia,acidourico,Creatinina,CreatininaFosfoquinaseCK-CPK,FosfataseAlcalina,Glicose,ColesterolTotal,ColesterolFracionadoHDL,ColesterolFracionadoLDL,ColesterolFracionadoVLDL,Triglicerideos,ProteinasTotais,Albumina,Globulina,RelaçaoA-G,BilirrubinaTotal,BilirrubinaDireta,BilirrubinaIndireta,Magnesio,Sodio,Potassio,Calcio,Fosforo,Cloro,Ferro,Colinesterase,LinfocitosReativos,LactatoDesidrogenase
VivekTudor,Pantanal,Male,Adult,3.35,,,,,,9.662,1.048,0.048,2.387,0.102,0.15,5.928,6.077,,,60,11,6.426,11.896,79.56,75,,5.217,2.7972,1.554,1.1655,0.0777,0.1356,63,18,45,0.4,5.985,0.684,5.301,0.4932,146,3.4,2.4,,110,15.573,485,,
VivekTudor,Pantanal,Male,Adult,6.41,11.3,0.339,52.8,17.6,33.3,11.56,0,0,1.618,0.462,0,9.479,9.479,251,21,71,16,4.284,11.896,88.4,131,19,6.2715,4.3253,3.2634,0.8288,0.2331,0.5198,63,11,52,0.2,5.13,0.342,4.788,0.5343,130,3.7,2.725,0.8075,97,11.814,182,,
LuisUruguaio,Pantanal,Male,Adult,3.94,7.7,,55.8,19.5,35,8.5,0,0,1.53,0.425,1.275,5.27,6.545,209,25,115,15,5.355,11.896,,113,,,,1.295,0.6993,,,57,12,45,0.3,3.42,1.71,1.71,0.4932,130,3.6,2.075,1.2274,96,20.406,391,,
Sergiao,Pantanal,Male,Adult,6.05,12,0.345,57,19.8,34.7,6.85,0.685,0,3.425,0.274,0.137,2.329,2.466,252,15,61,,5.355,23.792,,88,18,3.996,4.2476,3.1598,0.8547,0.2331,0.5085,65,14,51,0.2,4.959,0.684,4.275,0.6576,131,4.5,,1.292,97,16.647,144,,
Emilio,Pantanal,Male,Adult,6.28,11.5,0.415,66,18.3,27.7,11,0,0,5.5,0.44,0,5.06,5.06,207,20,96,16,4.998,17.844,114.92,223,18,6.993,,,1.6317,0.3885,0.8588,61,13,48,0.2,6.156,0.855,5.301,0.6576,,2.8,2.3,1.3566,114,14.32,259,,
Piccolo,Pantanal,Male,Juvenile,8.63,9,0.27,31,,33.3,5.5,0.33,0,1.595,1.705,0.275,1.375,,,,50,9,3.57,,97.24,132,,5.0505,,,,0.2849,0.6441,59,20,,,,0.171,,0.7398,138,,2.15,,95,21.838,224,,
Machinho,Pantanal,Male,Juvenile,,,,,,,,,,,,,,,,15,109,,4.998,,97.24,163,19,6.4935,3.7814,1.813,1.6058,0.3626,0.791,62,19,43,0.4,2.052,0.513,1.539,,130,,2.475,,92,18.616,529,,
Mirim,Pantanal,Male,Juvenile,5.5,,0.316,,,,7.1,,,,,,,,,12,79,17,4.998,17.844,114.92,79,4,5.1615,,,0.5698,0.2331,0.4859,65,18,47,0.4,3.249,0.684,2.565,0.9864,136,4.5,2.375,1.1951,100,9.129,540,,
Tonico,Pantanal,Male,Juvenile,6.15,10.9,0.383,62.2,17.7,28.4,15.15,,,,,,,,,,76,,5.355,11.896,97.24,220,,5.883,3.3929,2.5641,0.7252,0.0777,0.1921,62,16,46,0.3,5.13,1.71,3.42,0.6165,142,3,2.275,1.4858,108,8.055,139,,
Tonico,Pantanal,Male,Juvenile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonico,Pantanal,Male,Juvenile,7.74,,0.34,,,,14.9,0,,5.364,1.49,0,7.152,7.152,,15,57,14,2.856,23.792,88.4,102,,,3.8332,1.8389,1.3727,,,62,14,48,0.2,2.223,0.171,2.052,0.7809,135,3.8,2.675,1.0982,100,14.32,,,
FelippeLion,Pantanal,Male,Sub-adult,,,,,,,,,,,,,,,,27,,18,4.641,11.896,,606,14,7.8255,2.3569,1.4504,0.8806,,,62,20,42,0.5,6.84,1.71,5.13,,134,,,0.7752,,8.234,536,,
FelippeLion,Pantanal,Male,Sub-adult,9.56,,0.37,38.7,,,12.95,1.295,,4.274,0,0.259,7.123,7.382,,18,72,12,4.284,17.844,97.24,127,13,8.6025,2.4864,1.813,0.6216,0.0518,,61,15,46,0.3,4.617,0.513,4.104,0.6576,128,3.3,2.725,0.646,93,10.919,231,,
SemNome,Pantanal,Male,Sub-adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NicBishop,Pantanal,Male,Sub-adult,4.5,11,0.33,73,24,33.3,8.4,0,,4.2,0.84,0,3.36,3.36,,17,61,12,3.927,11.896,106.08,113,18,5.2725,2.9526,2.4864,,0.3885,0.8588,56,11,45,0.2,4.617,0.171,4.446,0.5343,139,4.1,2.525,0.7106,105,11.635,,,
Caio,Pantanal,Male,Sub-adult,5.4,13.1,0.395,73.1,24.3,33.1,12.2,,,1.098,0.976,0.488,9.638,10.126,,16,71,12,2.856,11.896,106.08,126,13,5.772,3.2634,2.7713,0.4144,0.0777,0.1695,,,45,0.2,5.985,0.684,5.301,0.5343,141,2.9,2.25,1.1951,108,8.055,253,,
RickBarongi,Pantanal,Male,Sub-adult,5.6,13.3,0.44,78.5,23.7,33.1,12.3,0,,3.813,0.246,0.246,7.995,8.241,,18,62,10,7.14,11.896,123.76,,6,3.9405,3.7814,2.5382,0.9842,0.259,0.5876,61,12,49,0.2,5.472,0.513,4.959,,128,4.6,2.7,1.5827,94,14.678,286,,
Sachin,Pantanal,Male,Sub-adult,8.74,,0.39,44.6,,,13.4,0.536,,6.432,0.268,0,6.164,,,19,67,15,5.355,23.792,132.6,148,13,9.3795,2.3569,1.295,0.518,0.5439,1.1978,65,15,50,0.3,3.591,0.855,2.736,0.6987,143,3.2,2.725,0.5814,111,15.215,130,,
Sachin,Pantanal,Male,Sub-adult,7.22,12.7,0.364,50.4,17.5,34.8,7.5,0.225,0,1.5,0.375,0,5.4,5.4,242,22,65,19,4.998,,106.08,97,18,6.6045,2.59,2.0461,0.4403,0.0777,0.1921,68,20,48,0.4,5.643,1.368,4.275,0.4521,134,,2.275,1.0982,93,12.709,235,,
Thor,Pantanal,Male,Sub-adult,6.54,10.5,0.322,50.7,16,31.6,13.4,0.134,0,2.412,0.268,0.67,9.916,10.586,331,,64,15,3.927,17.844,97.24,,29,6.105,3.3411,1.6835,1.2432,0.3885,0.8814,71,15,56,0.2,6.156,0.513,5.643,0.8631,,3.1,2.525,,,9.129,225,,
NelsaoChester,Pantanal,Male,Sub-adult,7.83,,0.36,,,,,,,,,,,,,23,98,15,5.712,5.948,79.56,168,17,7.0485,3.6519,2.4087,1.036,0.2072,0.4407,63,18,45,0.4,,,6.669,0.6576,142,3.4,2.275,0.6783,103,14.141,242,,
Jordano,Pantanal,Male,Sub-adult,11.58,,0.27,,,,13.2,,,,,,,,,22,92,19,9.282,11.896,114.92,772,13,,2.5123,2.0461,,0.1036,0.2147,69,20,49,0.4,4.788,1.539,3.249,0.6576,132,3.7,2.225,0.8075,95,13.783,188,,
Paulinho,Pantanal,Male,Sub-adult,5.73,,0.3,,,,10.6,,,,,,,,,14,67,18,7.14,11.896,,126,15,3.8295,3.0044,2.3051,0.5439,0.1554,0.3729,59,18,41,0.4,4.617,1.026,3.591,0.9453,134,4.5,2.45,1.0013,96,14.499,228,,
Rafera,Cerrado,Male,Sub-adult,4.54,,0.33,72.69,,,9.6,0.576,0.384,2.496,1.056,0.192,4.896,5.088,,4,41,3,4.64,0,70.72,99,16,7.1,4.14,2.15,1.86,0.13,0.28,69,35,34,1.029411765,11.63,4.1,7.52,0.7,142,3.1,2.35,1.74,103,15.04,955,1.536,405
Juscelino,Cerrado,Male,Adult,6.71,,0.36,53.65,,,15.25,0.305,0,3.05,1.372,0,10.522,10.522,,10,247,26,3.57,5.95,106.08,3,17,6.33,4.12,2.46,1.5,0.16,0.29,68,16,52,0.307692308,3.42,1.71,1.71,0.62,138,3,2.28,0.55,100,8.41,302,0.762,1011
Lou,Cerrado,Male,Adult,6.16,,0.26,42.21,,,14.25,1.852,0.142,4.275,0.285,0,7.695,7.695,,10,136,23,8.57,11.9,79.56,310,16,7.16,1.94,1.4,0.44,0.1,0.23,76,17,59,0.288135593,3.42,1.54,1.88,0.45,135,3.7,2.2,1.03,100,16.47,225,0.427,575
Titi,Cerrado,Male,Adult,7.13,,0.27,37.87,,,9.15,0.183,0,1.83,0.274,0.091,6.772,6.863,,11,108,25,6.78,11.9,53.04,222,15,9.49,2.67,1.89,0.67,0.1,0.24,75,17,58,0.293103448,3.42,1.2,2.22,0.37,137,3.5,2.03,0.81,103,9.49,300,0.183,652
Roger,Cerrado,Male,Sub-adult,6.22,,0.34,54.66,,,20.5,1.025,0,3.69,0.41,1.435,13.94,15.375,,6,124,25,6.07,5.95,88.4,199,21,3.44,3.55,2.23,1.24,0.08,0.15,81,19,62,0.306451613,6.84,0.51,6.33,0.86,133,3.7,2.58,0.94,95,12.71,226,0,617
Suzanne,Cerrado,Female,Adult,9.73,,0.33,33.92,,,22.9,0,0,2.977,0.458,0.229,19.236,19.465,,18,127,21,5,17.84,114.92,1237,30,3.44,2.93,1.45,1.32,0.16,0.34,83,25,58,0.431034483,17.1,3.08,14.02,0.58,136,3.3,2.65,1,98,13.07,254,0.458,1141
Isa,Cerrado,Female,Adult,7.33,,0.34,46.38,,,22.95,0.229,0,4.59,0.459,0,17.672,17.672,,5,94,36,8.93,5.95,88.4,195,16,3.11,2.54,1.42,0.91,0.21,0.43,77,22,55,0.4,5.13,1.2,3.93,0.82,144,4.3,2.53,0.81,107,10.2,310,3.672,780
Colombina,Cerrado,Female,Adult,6.35,,0.27,42.52,,,17.35,0,0,4.337,0.347,0.347,12.319,12.666,,11,166,14,9.28,5.95,88.4,1130,16,10.49,2.54,1.53,0.88,0.13,16.54,70,17,53,0.320754717,8.04,0.86,7.18,0.45,124,3.2,2.1,0.87,108,10.38,233,1.041,853
Pana,Cerrado,Female,Adult,7.15,,0.29,40.56,,,16.7,0,0,3.173,0.501,0.334,12.692,13.026,,11,146,23,7.5,5.95,106.08,2806,15,7.99,4.45,2.85,1.48,0.13,0.29,69,18,51,0.352941176,13.51,1.71,11.8,0.66,150,3.4,2.3,0.61,128,5.73,199,0.835,1304
Elis,Cerrado,Female,Adult,5.8,,0.3,51.72,,,8.95,0.179,0,3.043,0.089,0,5.639,5.639,,17,112,18,7.5,5.95,88.4,126,14,5.22,2.9,2.07,0.75,0.08,0.16,70,23,47,0.489361702,21.03,2.57,18.47,0.49,144,3.5,2.3,1.45,109,9.13,288,0.358,559
Zaca,Cerrado,Female,Adult,4.93,,0.26,52.74,,,7.6,0,0,1.52,0.532,0,5.548,5.548,,12,105,22,5.36,5.95,88.4,432,10,8.21,2.93,1.86,1.04,0.03,0.08,67,15,52,0.288461538,3.42,1.71,1.71,0.53,142,2.2,2.03,1.03,103,8.06,305,0.912,597
Bella,Cerrado,Female,Juvenile,5.56,,0.28,50.36,,,10.45,0,0,3.135,0.522,0.418,6.375,6.793,,24,169,20,4.28,5.95,79.56,2489,21,6.38,2.82,1.97,0.83,0.03,0.06,60,16,44,0.363636364,3.42,0.86,2.57,0.45,140,2.5,2,1.55,101,6.98,249,0.731,1335
Suli,Cerrado,Female,Adult,6.86,,0.3,43.73,,,16.35,1.144,0,2.78,0.654,0,11.772,11.772,,13,66,30,7.14,5.95,79.56,283,22,7.27,2.93,1.92,0.88,0.13,0.31,59,16,43,0.372093023,6.84,0.68,6.16,0.7,136,3.5,2.35,0.68,102,22.2,192,0.327,651
Julinha,Cerrado,Female,Juvenile,9.34,,0.29,31.05,,,13.95,0.139,0,4.325,0.558,0.139,8.789,8.928,,11,77,21,3.21,5.95,79.56,144,56,7.27,3.16,1.92,0.98,0.26,0.58,54,11,43,0.255813953,6.84,0.86,5.99,0.7,140,3.6,2.33,1.32,107,7.34,251,0.279,726
Kuruka,Cerrado,Male,Adult,5.57,,0.31,55.65,,,19.85,0,0,1.191,0.794,2.779,15.086,17.865,,24,213,19,7.5,11.9,79.56,3232,13,9.49,3.44,2.23,1.17,0.05,0.08,69,19,50,0.38,5.13,1.71,3.42,0.62,145,3.1,2.4,0.52,109,4.83,223,0,1163
Mari,Cerrado,Female,Juvenile,4.59,,0.27,58.82,,,10,0,0,2.7,0.6,0.3,6.4,6.7,,21,122,13,5,11.9,79.56,489,38,9.05,3.86,2.25,1.5,0.1,0.23,63,16,47,0.340425532,8.55,1.71,6.84,0.66,137,2.7,2.3,1.42,100,8.41,318,1.1,795
Arno,Cerrado,Male,Adult,8.1,,0.26,32.1,,,16.4,0,0,4.428,2.46,0,9.512,9.512,,11,63,8,10,11.9,97.24,141,15,6.66,3.39,2.49,0.78,0.13,0.31,67,18,49,0.367346939,5.13,1.71,3.42,0.7,142,3.6,2.55,1.07,103,9.85,203,2.132,640
Eloa,Cerrado,Female,Sub-adult,5.09,,0.28,55.2,,,12.86,0,0,1.929,0.514,0,10.417,10.417,,18,123,19,6.78,11.9,79.56,800,27,10.21,3.6,1.97,1.55,0.08,0.16,68,17,51,0.333333333,3.42,1.71,1.71,0.66,129,4.1,2.45,1.03,100,12.89,283,0,633
Silvio,Cerrado,Male,Adult,6.86,,0.25,36.44,,,10.9,0.218,0,1.744,0.763,1.09,7.085,8.175,,12,91,14,5,5.95,70.72,213,9,6.16,3.68,1.99,1.61,0.08,0.51,79,16,63,0.253968254,5.64,0.86,4.79,0.78,135,4.1,2.3,0.9,98,6.62,198,0.654,215
Ariel,Cerrado,Male,Sub-Adult,6.89,,0.25,36.28,,,18.1,0,0,5.43,0.362,0,12.308,12.308,,14,71,6,6.43,11.9,97.24,179,16,5.55,4.56,3,1.5,0.05,0.09,65,19,47,0.404255319,6.84,0.86,5.99,0.62,155,3.3,2.43,1.32,121,7.7,150,1.086,566
ZeMaria,Cerrado,Male,Sub-adult,6.15,,0.22,35.77,,,15.5,1.705,0,2.945,1.705,0,9.145,9.145,,10,134,18,10.35,11.9,88.4,599,34,7.94,3.13,1.61,1.48,0.05,0.43,71,20,51,0.392156863,7.7,1.2,6.5,0.78,145,3,2.3,1.74,107,14.14,239,1.085,709
Zefa,Cerrado,Female,Adult,8.14,,0.29,35.63,,,15.7,0.785,0.157,2.198,0.157,0,12.403,12.403,,14,79,10,5.36,5.95,88.4,131,10,5.38,4.66,2.51,1.86,0.28,0.43,73,15,58,0.25862069,7.01,0.86,6.16,0.86,141,4,2.53,0.78,106,9.49,224,0.157,591
Carabi,Cerrado,Female,Adult,9.26,,0.32,34.55,,,28.35,0,0,1.417,1.134,0,25.799,25.799,,12,90,36,6.78,0,97.24,880,15,9.99,3.57,1.84,1.53,0.21,0.31,81,20,61,0.327868852,3.93,1.37,2.57,0.9,141,3.5,2.55,0.94,104,14.32,280,0,614
Sandrao,Cerrado,Male,Adult,6.43,,0.34,52.88,,,7.9,0.079,0.079,2.212,0.632,0.079,4.819,4.898,,12,99,19,6.78,5.95,88.4,148,23,7.83,2.69,2.31,0.31,0.08,0.11,78,17,61,0.278688525,5.13,1.71,3.42,0.58,145,3.3,2.43,0.74,109,10.92,205,0.237,523
Segre,Cerrado,Female,Adult,5.91,,0.3,50.76,,,8.3,0.083,0,2.407,0.166,0.083,5.561,5.644,,5,98,23,5.71,11.9,79.56,439,24,7.83,2.93,2.12,0.73,0.08,0.12,83,17,66,0.257575758,3.93,0.68,3.25,0.53,140,2.9,2.33,0.71,103,8.06,233,0.83,668
Lewis,Cerrado,Male,Adult,4.19,,0.19,45.35,,,21.95,0,0.219,3.951,0,1.536,16.243,17.779,,5,57,13,4.64,11.9,61.88,148,15,8.1,1.58,0.85,0.65,0.08,0.14,60,10,50,0.2,2.74,0.34,2.39,0.53,151,3.6,2.15,0.9,121,9.85,181,0,348
DonaLina,Cerrado,Female,Adult,6.08,,0.26,42.76,,,7,0.35,0,1.4,0.98,0,4.27,4.27,,10,70,18,5.36,11.9,79.56,123,15,10.82,3.99,2.85,0.8,0.34,0.51,66,16,50,0.32,5.13,1.71,3.42,0.7,135,3.2,2.3,0.81,98,13.78,259,0.21,552
Ziggy,Cerrado,Female,Adult,7.68,,0.35,45.57,,,19.8,0,0,2.178,0.594,1.584,15.444,17.028,,25,344,19,4.28,11.9,79.56,1535,20,6.83,6.01,3.34,2.51,0.16,0.25,67,19,48,0.395833333,11.97,1.71,10.26,0.49,136,2.7,2.2,0.48,99,4.65,266,0.594,1532
Nai,Cerrado,Female,Sub-Adult,6.45,,0.33,51.16,,,19.6,0,0,3.332,0.98,0.98,14.308,15.288,,28,250,22,6.43,11.9,70.72,999,33,5.44,2.85,2.07,0.7,0.08,0.03,75,20,54,0.37037037,11.97,1.71,10.26,0.58,133,3.5,2.4,0.74,95,9.67,286,0.392,922
Allison,Cerrado,Female,Juvenile,7.77,,0.31,39.9,,,19.75,0.197,0,7.308,0.592,1.383,10.27,11.653,,19,59,22,5,11.9,79.56,140,24,6.05,4.84,2.43,2.07,0.34,0.59,71,18,53,0.339622642,5.13,1.71,3.42,0.62,149,2.3,2.33,1.81,107,15.39,235,0,626
Anna,Cerrado,Female,Adult,5.71,,0.3,52.54,,,7.75,1.705,0,1.86,0.387,0.078,3.72,3.798,,9,96,16,8.57,47.58,70.72,143,3,4.72,2.8,2.1,0.47,0.23,0.35,70,17,53,0.320754717,5.13,1.71,3.42,1.07,131,4.4,2.55,1.39,96,13.43,160,0,570
Catarro,Cerrado,Male,Sub-Adult,7.88,,0.32,40.61,,,11.8,0.472,0,4.13,0.944,0,6.254,6.254,,8,113,18,4.64,53.53,70.72,201,18,8.44,2.46,2.18,0.18,0.1,0.17,64,16,49,0.326530612,3.42,1.71,1.71,0.41,136,3.8,2.18,0.87,101,11.81,392,1.298,567
Lucas,Cerrado,Male,Sub-Adult,5.33,,0.3,56.28,,,12.3,1.599,0,2.952,0.615,0,7.134,7.134,,8,80,25,9.28,47.58,79.56,170,6,5.38,2.41,2.07,0.21,0.13,0.21,69,15,54,0.277777778,5.13,1.71,3.42,1.07,131,4.5,2.35,1.16,97,19.51,143,0.246,408
DonaCida,Cerrado,Female,Adult,4.67,,0.27,57.81,,,6.6,0.33,0,1.254,0.462,0,4.554,4.554,,17,87,21,4.28,5.95,70.72,160,6,5.99,4.48,3.08,1.22,0.18,0.28,56,8,48,0.166666667,6.84,1.71,5.13,0.62,140,2.9,2.15,1.07,104,8.59,326,0.132,558
Sofia,Cerrado,Female,Adult,4.92,,0.27,54.87,,,6.95,0.347,0,1.877,0.695,0.069,3.962,4.031,,21,102,14,1.79,5.95,88.4,557,5,6.88,4.45,3.06,1.3,0.1,0.16,58,11,47,0.234042553,5.13,1.71,3.42,0.66,134,3.6,2.5,1.03,97,2.69,258,0.069,721
